,Train File,ID
63,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/65_neg.tif,65
41,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/67_neg.tif,67
15,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/68_neg.tif,68
71,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/69_neg.tif,69
16,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/70_neg.tif,70
4,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/71_neg.tif,71
11,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/72_neg.tif,72
39,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/73_neg.tif,73
48,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/74_neg.tif,74
30,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/75_neg.tif,75
55,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/76_neg.tif,76
25,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/77_neg.tif,77
58,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/78_neg.tif,78
75,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/80_pos.tif,80
26,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/81_pos.tif,81
20,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/85_neg.tif,85
76,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/86_pos.tif,86
12,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/88_neg.tif,88
62,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/90_pos.tif,90
84,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/91_neg.tif,91
28,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/92_neg.tif,92
2,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/94_neg.tif,94
24,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/95_neg.tif,95
19,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/96_neg.tif,96
23,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/97_pos.tif,97
47,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/98_neg.tif,98
82,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/99_neg.tif,99
40,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/101_neg.tif,101
44,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/102_neg.tif,102
53,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/103_neg.tif,103
17,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/104_neg.tif,104
46,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/106_neg.tif,106
69,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/107_neg.tif,107
32,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/108_neg.tif,108
86,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/111_neg.tif,111
61,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/112_neg.tif,112
87,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/113_pos.tif,113
38,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/114_pos.tif,114
50,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/115_neg.tif,115
36,/content/drive/My Drive/Colab Notebooks/nray/DLBCL/TestRun1/Train/116_neg.tif,116
